Test Image,Best Match,Match Percentage
a.JPG,a.JPG,100.00000000000009
aa.JPG,aa.JPG,100.00000000000004
b.jpg,b.jpg,99.99999999999993
bb.JPG,bb.JPG,100.0
c.jpg,c.jpg,100.00000000000004
cc.JPG,cc.JPG,99.99999999999996
d.jpg,d.jpg,100.00000000000017
dd.JPG,dd.JPG,99.99999999999999
e.jpg,e.jpg,99.99999999999997
ee.JPG,ee.JPG,100.00000000000003
f.jpg,f.jpg,99.99999999999994
ff.JPG,ff.JPG,99.99999999999982
g.jpg,g.jpg,100.0
gg.JPG,gg.JPG,100.00000000000009
h.jpg,h.jpg,100.00000000000009
hh.JPG,hh.JPG,99.99999999999996
i.JPG,i.JPG,100.00000000000003
ii.JPG,ii.JPG,100.0
j.JPG,j.JPG,100.00000000000007
jj.JPG,jj.JPG,100.00000000000013
k.JPG,k.JPG,100.00000000000007
kk.JPG,kk.JPG,100.00000000000009
l.JPG,l.JPG,100.0
ll.JPG,ll.JPG,100.0
m.jpg,m.jpg,100.00000000000004
mm.JPG,mm.JPG,100.00000000000013
n.jpg,n.jpg,100.00000000000013
nn.JPG,nn.JPG,100.00000000000003
o.jpg,o.jpg,100.00000000000003
oo.JPG,oo.JPG,100.0
p.jpg,p.jpg,100.00000000000007
pp.JPG,pp.JPG,99.99999999999999
q.jpg,q.jpg,99.99999999999976
qq.JPG,qq.JPG,99.99999999999991
r.jpg,r.jpg,99.99999999999987
rr.jpg,rr.jpg,100.00000000000007
s.jpg,s.jpg,99.99999999999987
ss.JPG,ss.JPG,99.99999999999997
t.jpg,t.jpg,99.99999999999999
tt.JPG,tt.JPG,100.0
u.jpg,u.jpg,100.0
uu.JPG,uu.JPG,99.99999999999997
v.jpg,v.jpg,100.00000000000003
vv.JPG,vv.JPG,99.99999999999997
w.jpg,w.jpg,99.9999999999999
ww.JPG,ww.JPG,100.0
x.jpg,x.jpg,99.99999999999994
xx.jpeg,xx.jpeg,100.00000000000007
y.jpg,y.jpg,99.99999999999997
yy.jpeg,yy.jpeg,99.99999999999991
z.jpg,z.jpg,100.0
zz.jpeg,zz.jpeg,100.00000000000003
